node_id,lat,lon,out_degree,in_degree
9020,-40.875,40.875,275,227
9023,-40.875,46.875,593,597
9025,-40.875,50.875,457,432
9027,-40.875,54.875,297,322
9032,-40.875,64.875,502,514
9034,-40.875,68.875,328,353
9042,-40.875,84.875,389,286
9043,-40.875,86.875,308,323
9047,-40.875,94.875,303,230
9049,-40.875,98.875,384,370
9051,-40.875,102.875,351,370
9061,-40.875,122.875,392,398
9095,-40.875,190.875,278,316
9101,-40.875,202.875,283,244
9102,-40.875,204.875,589,490
9107,-40.875,214.875,270,267
9112,-40.875,224.875,281,281
9113,-40.875,226.875,396,419
9114,-40.875,228.875,408,367
9115,-40.875,230.875,366,376
9116,-40.875,232.875,315,286
9118,-40.875,236.875,425,404
9119,-40.875,238.875,384,356
9122,-40.875,244.875,392,344
9123,-40.875,246.875,365,367
9124,-40.875,248.875,278,296
9128,-40.875,256.875,429,366
9160,-40.875,320.875,322,289
9161,-40.875,322.875,324,264
9162,-40.875,324.875,420,379
9163,-40.875,326.875,765,745
9165,-40.875,330.875,521,465
9166,-40.875,332.875,426,323
9168,-40.875,336.875,415,304
9169,-40.875,338.875,276,224
9170,-40.875,340.875,485,471
9171,-40.875,342.875,526,431
9172,-40.875,344.875,329,276
9174,-40.875,348.875,461,453
9175,-40.875,350.875,416,344
9178,-40.875,356.875,422,387
9179,-40.875,358.875,269,223
9182,-42.875,4.875,333,303
9183,-42.875,6.875,372,306
9184,-42.875,8.875,279,222
9198,-42.875,36.875,295,188
9199,-42.875,38.875,306,260
9201,-42.875,42.875,356,326
9202,-42.875,44.875,358,326
9203,-42.875,46.875,275,301
9205,-42.875,50.875,289,321
9213,-42.875,66.875,286,278
9216,-42.875,72.875,300,312
9218,-42.875,76.875,289,312
9221,-42.875,82.875,292,249
9222,-42.875,84.875,287,265
9223,-42.875,86.875,334,297
9228,-42.875,96.875,474,403
9231,-42.875,102.875,292,251
9233,-42.875,106.875,376,464
9241,-42.875,122.875,282,313
9302,-42.875,244.875,462,451
9303,-42.875,246.875,337,363
9304,-42.875,248.875,464,441
9305,-42.875,250.875,401,452
9306,-42.875,252.875,340,390
9308,-42.875,256.875,350,358
9339,-42.875,318.875,441,377
9340,-42.875,320.875,296,207
9341,-42.875,322.875,390,291
9342,-42.875,324.875,277,213
9343,-42.875,326.875,366,262
9344,-42.875,328.875,385,302
9345,-42.875,330.875,313,271
9346,-42.875,332.875,418,407
9351,-42.875,342.875,389,371
9352,-42.875,344.875,488,477
9353,-42.875,346.875,400,380
9354,-42.875,348.875,443,417
9355,-42.875,350.875,404,360
9357,-42.875,354.875,420,438
9358,-42.875,356.875,483,535
9361,-44.875,2.875,301,258
9362,-44.875,4.875,303,285
9365,-44.875,10.875,282,248
9366,-44.875,12.875,300,270
9376,-44.875,32.875,320,281
9377,-44.875,34.875,314,248
9378,-44.875,36.875,298,229
9379,-44.875,38.875,751,602
9380,-44.875,40.875,328,207
9381,-44.875,42.875,375,247
9382,-44.875,44.875,270,267
9384,-44.875,48.875,306,291
9386,-44.875,52.875,369,409
9387,-44.875,54.875,453,499
9392,-44.875,64.875,298,329
9393,-44.875,66.875,277,266
9394,-44.875,68.875,363,410
9395,-44.875,70.875,366,377
9396,-44.875,72.875,486,469
9397,-44.875,74.875,340,340
9400,-44.875,80.875,281,320
9403,-44.875,86.875,350,380
9404,-44.875,88.875,411,355
9405,-44.875,90.875,426,371
9406,-44.875,92.875,448,330
9409,-44.875,98.875,325,319
9410,-44.875,100.875,312,294
9412,-44.875,104.875,280,287
9414,-44.875,108.875,321,285
9475,-44.875,230.875,415,380
9477,-44.875,234.875,273,204
9481,-44.875,242.875,275,223
9483,-44.875,246.875,483,417
9484,-44.875,248.875,350,375
9486,-44.875,252.875,341,363
9487,-44.875,254.875,312,349
9491,-44.875,262.875,283,272
9492,-44.875,264.875,277,306
9521,-44.875,322.875,270,206
9522,-44.875,324.875,368,283
9523,-44.875,326.875,342,251
9524,-44.875,328.875,294,256
9525,-44.875,330.875,323,262
9526,-44.875,332.875,291,300
9529,-44.875,338.875,328,309
9530,-44.875,340.875,321,283
9531,-44.875,342.875,321,310
9532,-44.875,344.875,332,279
9533,-44.875,346.875,390,373
9534,-44.875,348.875,446,371
9535,-44.875,350.875,347,291
9537,-44.875,354.875,439,443
9539,-44.875,358.875,295,337
9540,-46.875,0.875,298,301
9542,-46.875,4.875,347,326
